测点,X,Y,Z
1,-200,-10,-875.1816144
2,-195,-10,-876.5854959
3,-190,-10,-878.0946472
4,-185,-10,-879.7278579
5,-180,-10,-881.5127641
6,-175,-10,-883.3815223
7,-170,-10,-885.2213805
8,-165,-10,-886.9139933
9,-160,-10,-888.2934414
10,-155,-10,-889.1902184
11,-150,-10,-889.6157334
12,-145,-10,-889.7285026
13,-140,-10,-889.6785329
14,-135,-10,-889.5733489
15,-130,-10,-889.4887011
16,-125,-10,-889.4805521
17,-120,-10,-889.5913622
18,-115,-10,-889.8513113
19,-110,-10,-890.2774525
20,-105,-10,-890.8609575
21,-100,-10,-891.5610651
22,-95,-10,-892.3995078
23,-90,-10,-893.3821961
24,-85,-10,-894.5023245
25,-80,-10,-895.7546105
26,-75,-10,-897.1306988
27,-70,-10,-898.6310746
28,-65,-10,-900.252939
29,-60,-10,-902.0220325
30,-55,-10,-903.9623313
31,-50,-10,-906.0195765
32,-45,-10,-908.1648438
33,-40,-10,-910.3733518
34,-35,-10,-912.5830657
35,-30,-10,-914.7087482
36,-25,-10,-916.7336657
37,-20,-10,-918.6883121
38,-15,-10,-920.6221046
39,-10,-10,-922.5864077
40,-5,-10,-924.6106542
41,0,-10,-926.7059147
42,5,-10,-928.8724281
43,10,-10,-931.1076657
44,15,-10,-933.4288899
45,20,-10,-935.8379308
46,25,-10,-938.346012
47,30,-10,-940.9075352
48,35,-10,-943.5371987
49,40,-10,-946.1629607
50,45,-10,-948.6813252
51,50,-10,-950.9475346
52,55,-10,-952.9214444
53,60,-10,-954.6534666
54,65,-10,-956.2196588
55,70,-10,-957.6795151
56,75,-10,-959.0845298
57,80,-10,-960.4795075
58,85,-10,-961.8910927
59,90,-10,-963.3191285
60,95,-10,-964.7429343
61,100,-10,-966.1392349
62,105,-10,-967.4956881
63,110,-10,-968.8144352
64,115,-10,-970.105148
65,120,-10,-971.3738276
66,125,-10,-972.6151597
67,130,-10,-973.8222324
68,135,-10,-974.9905951
69,140,-10,-976.1215393
70,145,-10,-977.222805
71,150,-10,-978.3097603
72,155,-10,-979.4064356
73,160,-10,-980.5393027
74,165,-10,-981.7186014
75,170,-10,-982.9297654
76,175,-10,-984.1497587
77,180,-10,-985.3611368
78,185,-10,-986.5534027
79,190,-10,-987.7203157
80,195,-10,-988.8577432
81,200,-10,-989.962874
82,205,-10,-991.0345169
83,210,-10,-992.0729376
84,215,-10,-993.0787925
85,220,-10,-994.0524358
86,225,-10,-994.9937582
87,230,-10,-995.9020688
88,235,-10,-996.7757572
89,240,-10,-997.6116241
90,245,-10,-998.4041023
91,250,-10,-999.1460233
92,255,-10,-999.8335451
93,260,-10,-1000.470859
94,265,-10,-1001.066699
95,270,-10,-1001.628748
96,275,-10,-1002.162219
97,280,-10,-1002.670537
98,285,-10,-1003.156093
99,290,-10,-1003.620701
100,295,-10,-1004.065836
101,300,-10,-1004.492767
102,305,-10,-1004.902621
103,310,-10,-1005.296425
104,315,-10,-1005.675131
105,320,-10,-1006.039635
106,325,-10,-1006.390794
107,330,-10,-1006.729447
108,335,-10,-1007.056439
109,340,-10,-1007.372666
110,345,-10,-1007.679127
111,350,-10,-1007.97703
112,355,-10,-1008.267959
113,360,-10,-1008.554174
114,365,-10,-1008.83918
115,370,-10,-1009.128773
116,375,-10,-1009.432809
117,380,-10,-1009.767132
118,385,-10,-1010.151405
119,390,-10,-1010.596647
120,395,-10,-1011.09416
121,400,-10,-1011.624747
122,405,-10,-1012.172159
123,410,-10,-1012.726235
124,415,-10,-1013.281126
125,420,-10,-1013.833437
126,425,-10,-1014.381096
127,430,-10,-1014.922732
128,435,-10,-1015.45732
129,440,-10,-1015.983944
130,445,-10,-1016.501595
131,450,-10,-1017.008925
132,455,-10,-1017.50386
133,460,-10,-1017.982932
134,465,-10,-1018.440146
135,470,-10,-1018.865684
136,475,-10,-1019.246951
137,480,-10,-1019.576222
138,485,-10,-1019.858464
139,490,-10,-1020.106221
140,495,-10,-1020.330532
141,500,-10,-1020.538456
142,505,-10,-1020.734132
143,510,-10,-1020.92001
144,-200,-5,-874.6776173
145,-195,-5,-876.2471895
146,-190,-5,-877.9091352
147,-185,-5,-879.6690714
148,-180,-5,-881.5335658
149,-175,-5,-883.4721541
150,-170,-5,-885.4234548
151,-165,-5,-887.2981308
152,-160,-5,-888.8801902
153,-155,-5,-889.7043651
154,-150,-5,-889.8447003
155,-145,-5,-889.659799
156,-140,-5,-889.3429984
157,-135,-5,-889.0066134
158,-130,-5,-888.7226309
159,-125,-5,-888.5456992
160,-120,-5,-888.5206391
161,-115,-5,-888.6808929
162,-110,-5,-889.0433385
163,-105,-5,-889.607317
164,-100,-5,-890.3591832
165,-95,-5,-891.27219
166,-90,-5,-892.3275423
167,-85,-5,-893.5124827
168,-80,-5,-894.8221074
169,-75,-5,-896.2567975
170,-70,-5,-897.8227009
171,-65,-5,-899.5253116
172,-60,-5,-901.3832629
173,-55,-5,-903.3993962
174,-50,-5,-905.5603224
175,-45,-5,-907.8255443
176,-40,-5,-910.1197798
177,-35,-5,-912.3525293
178,-30,-5,-914.4643288
179,-25,-5,-916.4587412
180,-20,-5,-918.3763958
181,-15,-5,-920.271927
182,-10,-5,-922.1953789
183,-5,-5,-924.1835924
184,0,-5,-926.2436255
185,5,-5,-928.3726995
186,10,-5,-930.5647871
187,15,-5,-932.826749
188,20,-5,-935.1782262
189,25,-5,-937.6423494
190,30,-5,-940.2344879
191,35,-5,-942.9589941
192,40,-5,-945.7719125
193,45,-5,-948.5153864
194,50,-5,-950.9063665
195,55,-5,-952.878598
196,60,-5,-954.5836216
197,65,-5,-956.1240448
198,70,-5,-957.5583598
199,75,-5,-958.9425666
200,80,-5,-960.3293721
201,85,-5,-961.7522974
202,90,-5,-963.2082509
203,95,-5,-964.6632413
204,100,-5,-966.0842814
205,105,-5,-967.4558408
206,110,-5,-968.7810595
207,115,-5,-970.0791258
208,120,-5,-971.3665317
209,125,-5,-972.6330904
210,130,-5,-973.8575928
211,135,-5,-975.0308892
212,140,-5,-976.1539597
213,145,-5,-977.2343367
214,150,-5,-978.2884654
215,155,-5,-979.3499369
216,160,-5,-980.473579
217,165,-5,-981.6844691
218,170,-5,-982.9417259
219,175,-5,-984.202602
220,180,-5,-985.4466791
221,185,-5,-986.665372
222,190,-5,-987.8544549
223,195,-5,-989.0106844
224,200,-5,-990.1307899
225,205,-5,-991.2139277
226,210,-5,-992.2621987
227,215,-5,-993.2773905
228,220,-5,-994.2602945
229,225,-5,-995.2111418
230,230,-5,-996.1297236
231,235,-5,-997.0150953
232,240,-5,-997.8645834
233,245,-5,-998.6712808
234,250,-5,-999.4209972
235,255,-5,-1000.102182
236,260,-5,-1000.724929
237,265,-5,-1001.306259
238,270,-5,-1001.856084
239,275,-5,-1002.379336
240,280,-5,-1002.87883
241,285,-5,-1003.35649
242,290,-5,-1003.813817
243,295,-5,-1004.252091
244,300,-5,-1004.672447
